	Gender	Age	Height	Weight	Duration	Heart_Rate	Body_Temp	Calories	BMI	BMI Category	Age Group
46	1	33	184.0	86.0	8.0	86.0	39.9	26.0	25.401701323251416	Overweight	Adult
47	0	24	171.0	66.0	24.0	105.0	40.6	141.0	22.571047501795427	Normal Weight	Youth
48	1	24	195.0	98.0	20.0	96.0	40.6	92.0	25.77251808021039	Overweight	Youth
49	1	48	152.0	59.0	2.0	79.0	38.0	5.0	25.536703601108034	Overweight	Adult
50	1	35	193.0	93.0	10.0	83.0	39.7	30.0	24.967113211092915	Normal Weight	Adult
51	1	21	168.0	71.0	3.0	78.0	38.5	3.0	25.15589569160998	Overweight	Youth
52	0	21	179.0	73.0	9.0	90.0	39.6	37.0	22.783308885490467	Normal Weight	Youth
53	0	22	158.0	62.0	25.0	105.0	40.6	147.0	24.83576349943919	Normal Weight	Youth
54	0	69	174.0	69.0	2.0	80.0	38.1	8.0	22.79032897344431	Normal Weight	Old
55	1	53	191.0	101.0	21.0	106.0	40.7	159.0	27.685644582111237	Overweight	Adult
56	0	68	155.0	58.0	15.0	100.0	40.3	93.0	24.141519250780433	Normal Weight	Old
57	0	69	164.0	65.0	23.0	113.0	40.4	173.0	24.167162403331353	Normal Weight	Old
58	1	28	198.0	101.0	19.0	95.0	40.6	89.0	25.762677277828793	Overweight	Adult
59	1	70	188.0	89.0	7.0	82.0	39.3	31.0	25.18107741059303	Overweight	Old
60	0	36	170.0	64.0	9.0	84.0	39.6	35.0	22.145328719723185	Normal Weight	Adult
61	0	77	177.0	80.0	16.0	98.0	40.6	94.0	25.53544639152223	Overweight	Old
62	0	32	167.0	63.0	9.0	99.0	39.7	49.0	22.589551436050055	Normal Weight	Adult
63	0	62	185.0	77.0	13.0	84.0	40.4	54.0	22.498173849525198	Normal Weight	Adult
64	0	64	151.0	56.0	20.0	97.0	40.4	117.0	24.560326301478007	Normal Weight	Adult
65	1	45	175.0	79.0	27.0	104.0	40.6	173.0	25.79591836734694	Overweight	Adult
66	1	45	158.0	61.0	20.0	97.0	40.7	99.0	24.435186668803073	Normal Weight	Adult
67	0	22	177.0	71.0	10.0	93.0	39.8	45.0	22.66270867247598	Normal Weight	Youth
68	1	45	169.0	69.0	22.0	113.0	40.6	166.0	24.158817968558527	Normal Weight	Adult
69	0	66	174.0	69.0	28.0	111.0	40.9	202.0	22.79032897344431	Normal Weight	Old
70	1	31	182.0	83.0	20.0	101.0	40.9	107.0	25.057360222195385	Overweight	Adult
71	0	57	163.0	68.0	29.0	109.0	40.7	199.0	25.59373706198954	Overweight	Adult
72	1	53	192.0	93.0	5.0	90.0	39.1	25.0	25.227864583333336	Overweight	Adult
73	0	22	179.0	67.0	8.0	77.0	39.5	23.0	20.91070815517618	Normal Weight	Youth
74	1	67	192.0	92.0	24.0	108.0	40.7	200.0	24.95659722222222	Normal Weight	Old
75	0	27	168.0	64.0	2.0	76.0	38.2	6.0	22.67573696145125	Normal Weight	Adult
76	1	57	178.0	83.0	2.0	79.0	38.1	7.0	26.19618735008206	Overweight	Adult
77	0	49	168.0	68.0	20.0	99.0	40.6	113.0	24.092970521541954	Normal Weight	Adult
78	0	39	168.0	63.0	29.0	108.0	40.7	188.0	22.321428571428577	Normal Weight	Adult
79	1	47	165.0	72.0	20.0	96.0	40.3	103.0	26.44628099173554	Overweight	Adult
80	1	62	197.0	101.0	17.0	103.0	40.3	128.0	26.02489113349996	Overweight	Adult
81	1	41	187.0	89.0	23.0	99.0	40.7	130.0	25.45111384369012	Overweight	Adult
82	0	34	144.0	50.0	7.0	83.0	39.3	27.0	24.112654320987655	Normal Weight	Adult
83	0	40	163.0	62.0	27.0	111.0	41.2	185.0	23.335466144755166	Normal Weight	Adult
84	0	55	155.0	57.0	11.0	92.0	39.8	57.0	23.725286160249738	Normal Weight	Adult
85	1	44	189.0	88.0	13.0	94.0	40.0	65.0	24.635368550712467	Normal Weight	Adult
86	0	45	160.0	60.0	16.0	99.0	40.4	91.0	23.437499999999996	Normal Weight	Adult
87	0	49	164.0	64.0	19.0	105.0	40.4	120.0	23.795359904818564	Normal Weight	Adult
88	0	46	166.0	68.0	12.0	101.0	40.1	70.0	24.677021338365513	Normal Weight	Adult
89	1	25	202.0	100.0	9.0	94.0	39.8	39.0	24.50740123517302	Normal Weight	Adult
90	1	68	171.0	80.0	22.0	95.0	40.5	136.0	27.358845456721728	Overweight	Old
91	0	25	169.0	64.0	14.0	101.0	40.2	77.0	22.40817898532965	Normal Weight	Adult
92	0	31	174.0	67.0	9.0	93.0	39.5	42.0	22.12973972783723	Normal Weight	Adult
93	1	57	184.0	91.0	7.0	95.0	39.2	41.0	26.878544423440452	Overweight	Adult
94	0	27	159.0	59.0	14.0	88.0	39.9	59.0	23.337684427040067	Normal Weight	Adult
95	1	40	201.0	98.0	24.0	110.0	40.7	179.0	24.256825326105798	Normal Weight	Adult
96	0	57	171.0	74.0	2.0	73.0	38.6	6.0	25.3069320474676	Overweight	Adult
97	0	23	155.0	62.0	5.0	74.0	39.2	13.0	25.806451612903224	Overweight	Youth
98	1	23	189.0	87.0	23.0	110.0	40.0	147.0	24.355421180818006	Normal Weight	Youth
99	1	43	183.0	88.0	26.0	107.0	40.7	180.0	26.27728507868255	Overweight	Adult
100	1	74	201.0	107.0	14.0	96.0	40.1	101.0	26.484492958095103	Overweight	Old
101	0	45	158.0	53.0	23.0	106.0	40.7	150.0	21.230572023714146	Normal Weight	Adult
102	0	31	165.0	60.0	25.0	115.0	40.8	179.0	22.03856749311295	Normal Weight	Adult
103	1	21	195.0	93.0	6.0	93.0	39.2	23.0	24.45759368836292	Normal Weight	Youth
104	1	50	190.0	96.0	3.0	80.0	38.3	10.0	26.59279778393352	Overweight	Adult
105	1	39	175.0	74.0	9.0	93.0	39.5	39.0	24.163265306122447	Normal Weight	Adult
106	1	57	169.0	81.0	30.0	112.0	40.9	247.0	28.360351528307834	Overweight	Adult
107	0	26	159.0	53.0	19.0	92.0	40.5	89.0	20.964360587002094	Normal Weight	Adult
108	1	34	181.0	83.0	25.0	102.0	40.9	141.0	25.33500198406642	Overweight	Adult
109	0	55	160.0	62.0	4.0	87.0	39.1	18.0	24.218749999999996	Normal Weight	Adult
110	0	52	171.0	67.0	15.0	89.0	40.6	70.0	22.91303307000445	Normal Weight	Adult
111	1	21	188.0	90.0	29.0	110.0	40.8	185.0	25.46401086464464	Overweight	Youth
112	0	20	136.0	45.0	11.0	94.0	40.1	54.0	24.329584775086502	Normal Weight	Youth
113	0	79	152.0	60.0	29.0	107.0	40.8	207.0	25.969529085872576	Overweight	Old
114	1	21	189.0	91.0	27.0	114.0	41.0	189.0	25.475210660395845	Overweight	Youth
115	1	50	171.0	74.0	2.0	82.0	38.1	6.0	25.3069320474676	Overweight	Adult
116	0	29	180.0	76.0	12.0	97.0	39.9	60.0	23.456790123456788	Normal Weight	Adult
117	1	22	194.0	92.0	6.0	92.0	39.0	23.0	24.444680624933575	Normal Weight	Youth
118	0	28	158.0	60.0	27.0	113.0	40.8	186.0	24.034609838166958	Normal Weight	Adult
119	1	38	188.0	93.0	28.0	104.0	40.9	178.0	26.312811226799457	Overweight	Adult
120	1	23	169.0	73.0	25.0	102.0	40.7	122.0	25.55932915514163	Overweight	Youth
121	0	68	159.0	68.0	24.0	108.0	40.5	166.0	26.897670187097027	Overweight	Old
122	1	79	176.0	86.0	20.0	102.0	40.1	158.0	27.763429752066116	Overweight	Old
123	0	35	182.0	70.0	2.0	83.0	38.4	7.0	21.132713440405748	Normal Weight	Adult
124	1	67	201.0	96.0	18.0	105.0	40.5	143.0	23.761788074552616	Normal Weight	Old
125	0	21	156.0	52.0	12.0	82.0	39.8	43.0	21.367521367521366	Normal Weight	Youth
126	0	44	143.0	49.0	17.0	92.0	40.2	86.0	23.96205193407991	Normal Weight	Adult
127	0	43	175.0	72.0	23.0	100.0	40.7	128.0	23.510204081632654	Normal Weight	Adult
128	1	21	186.0	79.0	29.0	111.0	41.0	182.0	22.835009827725745	Normal Weight	Youth
129	0	32	170.0	70.0	10.0	98.0	39.7	52.0	24.221453287197235	Normal Weight	Adult
130	1	79	179.0	91.0	27.0	107.0	40.4	236.0	28.40111107643332	Overweight	Old
131	1	51	192.0	96.0	19.0	97.0	40.6	114.0	26.041666666666668	Overweight	Adult
132	0	60	174.0	67.0	11.0	99.0	39.7	64.0	22.12973972783723	Normal Weight	Adult
133	1	49	184.0	86.0	26.0	103.0	40.8	171.0	25.401701323251416	Overweight	Adult
134	1	46	179.0	84.0	6.0	82.0	39.2	19.0	26.216410224399986	Overweight	Adult
135	0	35	149.0	54.0	21.0	111.0	40.5	144.0	24.32322868339264	Normal Weight	Adult
136	1	31	172.0	76.0	9.0	94.0	39.7	37.0	25.689561925365066	Overweight	Adult
137	1	42	185.0	78.0	26.0	110.0	41.4	185.0	22.79035792549306	Normal Weight	Adult
138	0	66	174.0	69.0	13.0	87.0	39.8	60.0	22.79032897344431	Normal Weight	Old
139	1	52	189.0	90.0	22.0	96.0	40.5	127.0	25.195263290501387	Overweight	Adult
140	1	59	166.0	73.0	23.0	101.0	40.4	149.0	26.491508201480624	Overweight	Adult
141	1	23	169.0	71.0	16.0	102.0	40.1	78.0	24.859073561850078	Normal Weight	Youth
142	0	49	164.0	63.0	5.0	91.0	38.9	24.0	23.423557406305775	Normal Weight	Adult
143	0	25	157.0	57.0	23.0	107.0	40.8	143.0	23.124670372023203	Normal Weight	Adult
144	1	20	188.0	84.0	27.0	104.0	41.0	143.0	23.766410140334994	Normal Weight	Youth
145	0	28	163.0	66.0	15.0	94.0	40.1	71.0	24.840980089578082	Normal Weight	Adult
146	1	60	182.0	90.0	11.0	90.0	40.2	58.0	27.17063156623596	Overweight	Adult
147	0	29	178.0	77.0	15.0	95.0	40.4	71.0	24.302487059714682	Normal Weight	Adult
148	1	40	184.0	87.0	5.0	88.0	39.5	20.0	25.697069943289225	Overweight	Adult
149	1	26	191.0	93.0	17.0	96.0	40.3	78.0	25.492722238973712	Overweight	Adult
150	0	26	176.0	76.0	19.0	97.0	40.4	93.0	24.535123966942148	Normal Weight	Adult
151	1	25	158.0	58.0	6.0	90.0	39.2	17.0	23.233456176894723	Normal Weight	Adult
152	0	60	190.0	87.0	3.0	84.0	38.9	12.0	24.099722991689752	Normal Weight	Adult
153	1	25	181.0	81.0	23.0	101.0	40.8	115.0	24.724520008546747	Normal Weight	Adult
154	0	39	165.0	65.0	19.0	106.0	40.6	119.0	23.875114784205696	Normal Weight	Adult
155	0	30	153.0	53.0	26.0	108.0	40.6	168.0	22.64086462471699	Normal Weight	Adult
156	1	23	198.0	100.0	12.0	90.0	40.4	44.0	25.507601265177023	Overweight	Youth
157	0	37	148.0	51.0	29.0	108.0	40.6	192.0	23.283418553688826	Normal Weight	Adult
158	0	22	147.0	47.0	17.0	101.0	40.3	96.0	21.75019667731038	Normal Weight	Youth
159	0	26	170.0	68.0	23.0	105.0	40.7	135.0	23.529411764705884	Normal Weight	Adult
160	0	56	167.0	60.0	12.0	86.0	40.2	54.0	21.513858510523864	Normal Weight	Adult
161	1	43	171.0	79.0	30.0	115.0	40.8	239.0	27.01685988851271	Overweight	Adult
162	0	38	169.0	65.0	14.0	94.0	40.1	69.0	22.758306781975424	Normal Weight	Adult
163	1	24	179.0	80.0	14.0	90.0	40.7	46.0	24.968009737523797	Normal Weight	Youth
164	0	25	164.0	63.0	21.0	101.0	40.7	115.0	23.423557406305775	Normal Weight	Adult
165	0	31	163.0	62.0	4.0	88.0	39.1	17.0	23.335466144755166	Normal Weight	Adult
166	0	54	151.0	57.0	25.0	115.0	40.4	190.0	24.998903556861542	Normal Weight	Adult
167	0	34	190.0	91.0	12.0	89.0	40.2	48.0	25.207756232686982	Overweight	Adult
168	0	28	176.0	72.0	27.0	112.0	40.7	178.0	23.243801652892564	Normal Weight	Adult
169	1	24	191.0	95.0	6.0	88.0	39.3	20.0	26.040952824758094	Overweight	Youth
170	0	27	167.0	69.0	15.0	90.0	40.4	64.0	24.740937287102444	Normal Weight	Adult
171	0	35	154.0	57.0	19.0	94.0	40.6	95.0	24.034407151290267	Normal Weight	Adult
172	1	49	183.0	89.0	25.0	111.0	40.8	196.0	26.575890590940304	Overweight	Adult
173	1	36	185.0	91.0	2.0	91.0	38.1	9.0	26.588750913075234	Overweight	Adult
174	0	58	192.0	83.0	18.0	101.0	40.8	105.0	22.51519097222222	Normal Weight	Adult
175	0	40	157.0	61.0	12.0	92.0	40.0	58.0	24.747454257779218	Normal Weight	Adult
176	1	31	179.0	77.0	24.0	97.0	40.8	111.0	24.031709372366656	Normal Weight	Adult
177	1	50	182.0	86.0	17.0	101.0	40.3	108.0	25.963047941069917	Overweight	Adult
178	1	36	202.0	109.0	6.0	87.0	39.1	24.0	26.713067346338594	Overweight	Adult
179	0	34	163.0	61.0	13.0	96.0	40.1	67.0	22.95908765854944	Normal Weight	Adult
180	0	78	153.0	54.0	13.0	84.0	40.3	62.0	23.06805074971165	Normal Weight	Old
181	1	41	178.0	76.0	28.0	104.0	40.8	172.0	23.98687034465345	Normal Weight	Adult
182	1	41	172.0	71.0	7.0	87.0	39.5	24.0	23.99945916711736	Normal Weight	Adult
183	1	24	178.0	77.0	19.0	98.0	40.1	84.0	24.302487059714682	Normal Weight	Youth
184	0	67	173.0	69.0	20.0	105.0	40.5	132.0	23.054562464499313	Normal Weight	Old
185	0	47	179.0	75.0	25.0	110.0	40.7	167.0	23.40750912892856	Normal Weight	Adult
186	0	42	154.0	52.0	17.0	101.0	40.6	101.0	21.926125822229718	Normal Weight	Adult
187	0	25	180.0	75.0	23.0	97.0	40.6	113.0	23.148148148148145	Normal Weight	Adult
188	1	25	179.0	78.0	17.0	101.0	40.3	84.0	24.343809494085704	Normal Weight	Adult
189	0	58	165.0	68.0	6.0	88.0	39.4	28.0	24.977043158861342	Normal Weight	Adult
190	1	68	191.0	98.0	22.0	99.0	41.0	157.0	26.863298703434666	Overweight	Old
191	1	24	181.0	91.0	14.0	97.0	40.4	64.0	27.776929886145112	Overweight	Youth
192	1	38	192.0	92.0	21.0	104.0	40.6	133.0	24.95659722222222	Normal Weight	Adult
193	0	26	164.0	59.0	23.0	108.0	40.5	145.0	21.936347412254616	Normal Weight	Adult
194	1	64	178.0	83.0	24.0	103.0	41.0	174.0	26.19618735008206	Overweight	Adult
195	0	49	174.0	75.0	7.0	93.0	39.2	34.0	24.772096710265558	Normal Weight	Adult
196	0	73	158.0	57.0	29.0	103.0	40.9	193.0	22.832879346258608	Normal Weight	Old
197	1	27	180.0	86.0	24.0	107.0	40.7	147.0	26.54320987654321	Overweight	Adult
198	1	66	171.0	72.0	18.0	105.0	40.5	133.0	24.622960911049557	Normal Weight	Old
199	1	39	199.0	104.0	26.0	101.0	40.7	161.0	26.261963081740358	Overweight	Adult
200	0	30	168.0	62.0	6.0	76.0	39.4	18.0	21.9671201814059	Normal Weight	Adult
201	1	76	187.0	96.0	12.0	96.0	40.1	85.0	27.45288684263204	Overweight	Old
202	1	60	193.0	90.0	15.0	95.0	40.0	90.0	24.161722462347985	Normal Weight	Adult
203	1	54	188.0	90.0	23.0	108.0	40.9	176.0	25.46401086464464	Overweight	Adult
204	0	49	166.0	66.0	11.0	89.0	39.6	51.0	23.95122659311947	Normal Weight	Adult
205	0	24	173.0	66.0	7.0	82.0	39.3	24.0	22.052190183434128	Normal Weight	Youth
206	0	28	161.0	57.0	6.0	83.0	39.5	22.0	21.98989236526368	Normal Weight	Adult
207	1	72	197.0	102.0	25.0	106.0	40.9	212.0	26.282563322940554	Overweight	Old
208	1	32	171.0	78.0	29.0	112.0	40.9	201.0	26.674874320303687	Overweight	Adult
209	0	36	159.0	59.0	17.0	93.0	40.3	83.0	23.337684427040067	Normal Weight	Adult
210	1	65	204.0	103.0	14.0	93.0	40.1	87.0	24.750096116878122	Normal Weight	Old
211	0	36	163.0	67.0	27.0	97.0	40.7	141.0	25.21735857578381	Overweight	Adult
212	0	32	159.0	63.0	23.0	103.0	40.3	134.0	24.919900320398717	Normal Weight	Adult
213	1	42	180.0	84.0	2.0	80.0	38.6	5.0	25.925925925925924	Overweight	Adult
214	1	34	191.0	94.0	29.0	109.0	40.9	201.0	25.766837531865903	Overweight	Adult
215	1	34	181.0	78.0	3.0	86.0	38.2	9.0	23.808797045267237	Normal Weight	Adult
216	1	26	191.0	86.0	8.0	83.0	39.3	20.0	23.573915188728378	Normal Weight	Adult
217	1	31	203.0	105.0	29.0	113.0	40.8	221.0	25.479870901987436	Overweight	Adult
218	0	64	157.0	63.0	17.0	105.0	40.1	112.0	25.558846200657225	Overweight	Adult
219	1	34	185.0	93.0	20.0	99.0	40.3	108.0	27.173119065010955	Overweight	Adult
220	1	63	204.0	112.0	29.0	110.0	40.4	257.0	26.91272587466359	Overweight	Adult
221	1	44	194.0	87.0	27.0	108.0	40.8	192.0	23.11616537357849	Normal Weight	Adult
222	1	36	190.0	96.0	17.0	90.0	40.3	72.0	26.59279778393352	Overweight	Adult
223	1	41	173.0	71.0	28.0	104.0	41.2	169.0	23.722810651876106	Normal Weight	Adult
224	1	73	168.0	77.0	18.0	97.0	40.3	120.0	27.281746031746035	Overweight	Old
225	1	31	186.0	85.0	28.0	106.0	40.8	172.0	24.56931437160365	Normal Weight	Adult
226	1	22	179.0	73.0	10.0	84.0	39.9	21.0	22.783308885490467	Normal Weight	Youth
227	0	34	161.0	56.0	18.0	102.0	40.6	105.0	21.60410477990818	Normal Weight	Adult
228	0	21	168.0	65.0	25.0	109.0	40.3	156.0	23.030045351473927	Normal Weight	Youth
229	0	22	145.0	50.0	3.0	89.0	38.7	13.0	23.781212841854934	Normal Weight	Youth
230	1	33	190.0	97.0	24.0	100.0	40.8	134.0	26.869806094182827	Overweight	Adult
231	0	51	157.0	60.0	21.0	103.0	40.4	130.0	24.341758286340216	Normal Weight	Adult
232	1	45	195.0	99.0	2.0	83.0	37.9	7.0	26.035502958579883	Overweight	Adult
233	0	33	175.0	67.0	25.0	101.0	41.1	140.0	21.877551020408163	Normal Weight	Adult
234	1	47	198.0	97.0	7.0	91.0	39.3	34.0	24.742373227221712	Normal Weight	Adult
235	0	70	175.0	74.0	9.0	79.0	40.0	34.0	24.163265306122447	Normal Weight	Old
236	0	77	160.0	63.0	8.0	92.0	39.5	44.0	24.609374999999996	Normal Weight	Old
237	0	35	172.0	71.0	11.0	85.0	39.9	42.0	23.99945916711736	Normal Weight	Adult
238	0	44	161.0	60.0	2.0	89.0	38.4	9.0	23.147255121330193	Normal Weight	Adult
239	0	71	164.0	60.0	18.0	97.0	40.5	107.0	22.308149910767405	Normal Weight	Old
240	0	54	174.0	75.0	9.0	87.0	39.6	39.0	24.772096710265558	Normal Weight	Adult
241	0	63	166.0	68.0	26.0	108.0	40.8	178.0	24.677021338365513	Normal Weight	Adult
242	0	50	149.0	55.0	13.0	101.0	40.4	79.0	24.77365884419621	Normal Weight	Adult
243	1	63	200.0	105.0	15.0	102.0	40.3	113.0	26.25	Overweight	Adult
244	0	30	163.0	58.0	22.0	109.0	40.5	143.0	21.829952199932254	Normal Weight	Adult
245	0	33	163.0	57.0	4.0	84.0	38.7	16.0	21.453573713726524	Normal Weight	Adult
246	1	38	189.0	91.0	24.0	100.0	40.5	137.0	25.475210660395845	Overweight	Adult
247	1	20	183.0	81.0	17.0	97.0	40.5	71.0	24.187046492878256	Normal Weight	Youth
248	0	67	159.0	62.0	13.0	94.0	40.2	72.0	24.524346347059055	Normal Weight	Old
249	1	24	188.0	90.0	14.0	103.0	40.1	76.0	25.46401086464464	Overweight	Youth
250	1	30	197.0	103.0	27.0	109.0	40.5	187.0	26.540235512381148	Overweight	Adult
251	0	35	145.0	49.0	18.0	103.0	40.2	109.0	23.305588585017837	Normal Weight	Adult
252	0	63	176.0	79.0	29.0	111.0	40.5	204.0	25.50361570247934	Overweight	Adult
253	0	50	157.0	60.0	6.0	91.0	39.4	29.0	24.341758286340216	Normal Weight	Adult
254	1	33	200.0	101.0	17.0	98.0	40.5	91.0	25.25	Overweight	Adult
255	0	36	163.0	58.0	4.0	84.0	39.0	16.0	21.829952199932254	Normal Weight	Adult
256	1	75	187.0	97.0	7.0	84.0	39.1	36.0	27.738854413909458	Overweight	Old
257	1	56	184.0	93.0	13.0	97.0	39.9	80.0	27.469281663516067	Overweight	Adult
258	0	50	182.0	75.0	22.0	111.0	40.6	151.0	22.6421929718633	Normal Weight	Adult
259	1	24	183.0	80.0	27.0	116.0	40.6	195.0	23.888440980620498	Normal Weight	Youth
260	0	32	172.0	72.0	8.0	80.0	39.5	26.0	24.337479718766904	Normal Weight	Adult
261	1	49	193.0	100.0	22.0	99.0	40.5	138.0	26.846358291497758	Overweight	Adult
262	0	77	170.0	65.0	3.0	89.0	39.0	15.0	22.49134948096886	Normal Weight	Old
263	1	67	171.0	75.0	19.0	97.0	40.5	120.0	25.64891761567662	Overweight	Old
264	1	23	182.0	81.0	30.0	112.0	41.0	197.0	24.453568409612362	Normal Weight	Youth
265	1	37	192.0	95.0	21.0	98.0	40.7	114.0	25.770399305555557	Overweight	Adult
266	0	35	163.0	59.0	20.0	107.0	40.6	127.0	22.20633068613798	Normal Weight	Adult
267	1	34	185.0	83.0	23.0	97.0	40.8	112.0	24.251278305332356	Normal Weight	Adult
268	0	49	168.0	67.0	21.0	98.0	40.4	116.0	23.738662131519277	Normal Weight	Adult
269	0	69	156.0	61.0	8.0	83.0	39.4	35.0	25.06574621959237	Overweight	Old
270	1	49	194.0	101.0	16.0	103.0	40.4	110.0	26.83600807737273	Overweight	Adult
271	0	41	150.0	51.0	22.0	95.0	40.2	117.0	22.666666666666668	Normal Weight	Adult
272	1	42	195.0	95.0	17.0	105.0	40.2	115.0	24.983563445101908	Normal Weight	Adult
273	1	52	188.0	93.0	21.0	107.0	40.6	157.0	26.312811226799457	Overweight	Adult
274	0	26	158.0	60.0	12.0	91.0	40.0	54.0	24.034609838166958	Normal Weight	Adult
275	0	79	178.0	80.0	25.0	104.0	40.5	163.0	25.24933720489837	Overweight	Old
276	1	72	172.0	82.0	19.0	107.0	40.5	156.0	27.717685235262305	Overweight	Old
277	1	34	195.0	92.0	10.0	91.0	39.9	42.0	24.194608809993426	Normal Weight	Adult
278	0	60	152.0	50.0	7.0	89.0	39.8	35.0	21.641274238227147	Normal Weight	Adult
279	0	45	158.0	57.0	7.0	91.0	39.3	34.0	22.832879346258608	Normal Weight	Adult
280	1	33	188.0	92.0	19.0	98.0	40.4	99.0	26.029877772747852	Overweight	Adult
281	1	56	192.0	97.0	20.0	109.0	40.5	161.0	26.31293402777778	Overweight	Adult
282	0	21	153.0	54.0	8.0	94.0	39.8	38.0	23.06805074971165	Normal Weight	Youth
283	0	50	161.0	61.0	18.0	99.0	40.5	104.0	23.533042706685695	Normal Weight	Adult
284	1	60	184.0	86.0	27.0	105.0	41.0	200.0	25.401701323251416	Overweight	Adult
285	1	39	162.0	72.0	28.0	108.0	40.7	183.0	27.43484224965706	Overweight	Adult
286	1	48	175.0	75.0	19.0	110.0	40.7	140.0	24.489795918367346	Normal Weight	Adult
287	0	38	163.0	65.0	19.0	97.0	40.5	100.0	24.46460160337235	Normal Weight	Adult
